design,seq_len,top_k,margin,cycles,bram_reads,mean_term_plane,word_tokens
baseline,128,8,0.0,285,61056,8.00,1
seq,128,8,0.0,2280,61056,8.00,1
exact,128,8,0.0,3687,57062,5.58,1
approx,128,8,0.1,3670,56459,5.46,1
baseline,256,8,0.0,1113,257152,8.00,1
seq,256,8,0.0,8904,257152,8.00,1
exact,256,8,0.0,11211,215813,5.19,1
approx,256,8,0.1,11082,212186,5.06,1
baseline,512,8,0.0,4305,1042560,8.00,1
seq,512,8,0.0,34440,1042560,8.00,1
exact,512,8,0.0,33791,776771,5.00,1
approx,512,8,0.1,33262,759473,4.87,1
